srcStateName,srcYear,Cognizable crimes reported by IPC,Registered murder cases,Registered cases of offence against state,Cases reported under the Prevention of Corruption Act and related sections of IPC,Value of property stolen,Value of property recovered,Cases registered by Railway Protection Force,Registered cases of crime or atrocities against Scheduled Castes (SCs),Registered cases of crime or atrocities against Scheduled Tribes (STs),Cognizable crimes registered under SLL (Special & Local Laws).,Cognizable crimes registered under IPC (Indian Penal Code) and SLL (Special & Local Laws),Cases registered under crime against women (including both IPC and SLL (Special & Local Laws crimes),Cases of crime against foreigners,Registered cyber-crime cases,Cases registered under economic offences,Cases registered under environment related offences,Cases registered under IPC and SLL (Special & Local Laws) in which juveniles were apprehended.,YearCode,Year
Tripura,2018,5325,137,17,6,5.4135877,0.9776255,83,1,0,753,6078,907,0,20,173,0,44,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018,113951,786,53,139,160.570656,113.3627941,16839,1507,419,12907,126858,16027,5,1205,10390,483,1408,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018,185912,1569,2241,264,144.1564249,96.5504381,79383,1413,15,313276,499188,5822,51,295,3865,14536,2304,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018,620,12,3,0,1.31837,0.29715,0,5,1,249,869,172,0,1,43,0,9,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018,171889,1508,125,372,247.2385618,119.4587436,66487,4607,1095,78657,250546,27866,21,1104,21309,9784,2068,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,41640,684,39,176,102.5439463,31.1491528,20967,168,0,28678,70318,5302,5,239,4835,35,236,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,83769,1378,15,494,119.3392197,34.3524747,41897,1778,557,23639,107408,20274,0,843,3226,8,1078,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018,1223,31,12,16,7.4321362,1.5900537,214,0,0,552,1775,75,0,2,103,0,10,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018,1774,27,0,7,3.5943446,1.8425381,0,0,0,577,2351,249,1,6,69,1,31,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2018,2921,95,22,1,12.3668622,1.3812276,0,0,0,561,3482,571,0,74,257,45,71,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2018,2869,52,307,4,11.9940741,1.090442,0,0,1,912,3781,271,0,29,144,1,10,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,346291,2199,423,936,1403.388913,754.1719575,223289,1974,526,169383,515674,35497,63,3511,14854,1010,5880,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018,248354,1879,223,256,171.5216465,63.2015371,89036,4753,1868,156775,405129,28942,6,740,2955,139,5232,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018,186958,292,341,142,66.5384875,23.4171778,28458,887,138,325209,512167,10461,10,340,5522,5750,475,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018,126534,1334,112,378,244.7861671,97.2726557,34396,1325,322,36882,163416,13514,28,5839,7215,400,528,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,45287,1712,191,90,36.9524726,3.3581224,25715,537,224,10377,55664,7083,0,930,4186,155,79,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,24216,181,281,84,33.4009195,11.1098795,2661,1,0,3060,27276,3437,0,73,700,8,285,2018,"Calendar Year (Jan - Dec), 2018"
